"time","X","Y","Predicted Y","APE"
1   ,17477296,113550.1,115539.965972375,0.0175241234695052
2   ,18117859.2,119131.5,117462.571507061,0.0140091285087374
3   ,16994435.2,120137.7,116689.709239449,0.0287003227176098
4   ,16894403.2,121754.5,117259.403665523,0.0369193445373864
5   ,17170697.6,120430.1,116779.047704061,0.0303167754235737
6   ,19241612.8,127439.1,120978.634793319,0.0506945294394027
7   ,21227468.8,128969.9,124096.202112434,0.037789421311219
8   ,17043564.8,115261.5,121633.020681708,0.0552788284180601
9   ,18602057.6,112879.3,120268.796561462,0.065463699380326
10  ,19831721.6,120262.4,118588.879371297,0.0139155765118897
11  ,18884915.2,124433.4,119746.473710461,0.0376661434111696
12  ,19530876.8,121840.5,119360.399635375,0.0203553035700398
13  ,20978425.6,125181.6,120791.138524514,0.035072738129932
14  ,18668137.6,112771.8,122187.937414509,0.0834972698361593
15  ,19917571.2,116026.9,118632.901867239,0.0224603248663838
16  ,18592153.6,116233.3,116543.914372823,0.0026723354909697
17  ,17351865.6,119677.6,115310.406851897,0.0364913162371496
18  ,19302368,127830.4,116961.82431389,0.0850234035574493
19  ,18346764.8,112720.2,120795.538285781,0.0716405603057913
20  ,17004643.2,117665.2,115655.017502555,0.0170839168882973
21  ,16948512,120464.5,117713.715169134,0.0228348171524884
22  ,18053209.6,123762.6,118797.484052566,0.0401180643218053
23  ,17653987.2,128539.9,119381.679221069,0.0712480776702854
24  ,22085689.6,126316.8,126392.279020464,0.000597537465038331
25  ,23990345.6,131270.4,129245.644722026,0.015424309501407
26  ,22110592,133794.5,129118.439314918,0.0349495733014556
27  ,17762096,128840.9,124916.393582545,0.0304600978218519
28  ,20605984,131257.5,128422.648847265,0.0215976317752111
29  ,20595932.8,124321.6,130344.50368556,0.0484461564648485
30  ,18624240,134693.2,127157.601704233,0.0559463899867803
31  ,17029913.6,119251.9,127823.686792365,0.0718796664234667
32  ,18004688,122498.4,122648.494413103,0.00122527651873509
33  ,17392406.4,124330.2,123864.216497022,0.0037479510447034
34  ,22648486.4,123728.2,128505.184293661,0.0386086946521554
35  ,18411238.4,130466.3,120357.963850702,0.0774785224176492
36  ,21815331.2,144389.7,129599.454631926,0.102432828436338
37  ,23243526.4,138584.7,133618.641414851,0.0358341042348056
38  ,18972652.8,136619.6,133087.976079297,0.0258500531453961
39  ,18166281.6,134396.5,134370.684147979,0.000192087234572451
40  ,15228540.8,125508.4,130873.744700337,0.042748889320056
41  ,15593740.8,123130.5,129206.635020177,0.0493471156226654
42  ,16763017.6,125744.9,126884.565724939,0.00906331568865838
43  ,15759555.2,120666.6,125390.826818821,0.0391510726151283
44  ,16147257.6,127783.1,121677.738907826,0.0477790967050705
45  ,18310412.8,127366,125732.258424184,0.0128271404913075
46  ,18266000,140167.1,125455.619165586,0.104956732602833
47  ,16918752,129709.5,130599.626753876,0.00686246384324961
48  ,17137801.6,120954.7,128013.096579712,0.0583557032485096
49  ,18016358.4,120933.2,127001.713227734,0.0501807049489662
50  ,17315408,117974.8,125061.255991514,0.0600675397755605
51  ,16720691.2,111064.7,119428.768599554,0.0753080735783206
52  ,18962211.2,118731.6,116484.69488119,0.0189242385246195
53  ,18339891.2,112604.1,117423.672818931,0.0428010420484767
54  ,17432067.2,122094.2,113184.185279412,0.0729765600707361
55  ,18711724.8,123418.6,117675.352670741,0.0465346984106065
56  ,16737203.2,108183.7,117367.963198127,0.0848950738246766
57  ,20395904,126131.9,116767.542965847,0.0742425749089061
58  ,18332064,105246.8,120515.280039055,0.145073104731499
59  ,15875488,105655.3,109740.066626781,0.0386612562434687
60  ,19974473.6,118976.7,111852.610737527,0.0598780203390528
61  ,21136854.4,122296.3,116465.640559269,0.0476764991314644
62  ,21731065.6,107487.1,117874.217291833,0.0966359432139552
63  ,21120515.2,113928.5,111759.254721342,0.0190404093677846
64  ,22498454.4,116753.6,117135.75459692,0.00327317185011475
65  ,26613763.2,111563.5,119094.853151661,0.0675073223021995
66  ,26626492.8,129825.6,115533.646806965,0.110085785800608
67  ,19998790.4,111757,117906.38399727,0.0550245979873301
68  ,19466560,115842,111028.77798868,0.0415498870126561
69  ,22090972.8,114977.7,117301.222811266,0.0202084648698451
70  ,22481248,119643.2,118716.573678689,0.00774491422254871
71  ,20427923.2,111894.6,116414.38702185,0.0403932542039559
72  ,24163158.4,115115.3,116621.12577972,0.0130810220684824
73  ,20521008,115149.7,113514.144524215,0.0142037319748575
74  ,20362646.4,114285.4,115212.046302751,0.00810817744655608
75  ,19015865.6,114517.6,110755.019568738,0.0328559141237887
76  ,19488774.4,112703,114692.754069173,0.0176548456489418
77  ,20111622.4,111537.7,113617.192389947,0.0186438521678914
78  ,20545696,113201.8,113731.408373401,0.00467844480742268
79  ,21041708.8,124364.6,114657.668071789,0.0780522104217038
80  ,23376361.6,121750.2,120475.310133026,0.010471357475994
81  ,21592563.2,117256.7,119321.289311939,0.0176074314895336
82  ,20536294.4,117334.1,118494.112307102,0.00988640392777801
83  ,20297715.2,112350.4,117578.659140961,0.0465352961890735
84  ,22242662.4,114853,117012.857652117,0.0188054091065751
85  ,19206105.6,112492.3,113686.212895723,0.0106132854935237
86  ,20557011.2,109998.3,114119.022010618,0.037461688140802
87  ,19172390.4,116899.8,109591.210300239,0.0625201215037253
88  ,22804803.2,126325.4,118000.49604063,0.0659004757504815
89  ,22685907.2,120868.7,119377.664325781,0.0123359949616279
90  ,17933107.2,118477.9,116211.926641661,0.0191257049486779
91  ,20204118.4,112556.8,119472.731728078,0.0614439263383252
92  ,19067232,115609.8,115120.674582556,0.00423083006323016
93  ,22054963.2,121328.8,120220.323065763,0.00913614025884315
94  ,17858918.4,114319.8,114367.268581883,0.000415226250247912
95  ,18296860.8,116078.5,114807.439163667,0.0109500108662103
96  ,20497324.8,115794.7,116495.04653525,0.00604817435728828
97  ,19968761.6,125581.5,117182.165864878,0.0668835308952501
98  ,18617116.8,111597.9,114873.498283597,0.0293517914189879
99  ,18346972.8,112866.4,114866.317158242,0.0177193315126733
100 ,20391699.2,117054.6,116630.307129231,0.00362474324605016
101 ,18709340.8,114302.6,113546.206654042,0.0066174640468206
102 ,20405286.4,117265.3,115195.374813128,0.0176516427866735
103 ,19721456,112513.8,114928.962698344,0.0214654797753148
104 ,20471894.4,113464.1,115361.61829271,0.0167235124828926
105 ,19267920,107792.4,112950.915682282,0.0478560240080153
106 ,19023123.2,108583.6,110675.74377702,0.0192675853169354
107 ,18130406.4,104700.7,108562.497911462,0.0368841651628081
108 ,21795936,110441.2,110130.888055064,0.00280974803729447
109 ,17125171.2,104696.4,105851.789428498,0.0110356175427066
110 ,19546870.4,113107.2,107684.236635886,0.0479453418006446
111 ,23128921.6,111610.8,111636.187141848,0.000227461337505994
112 ,22816950.4,113971.5,113060.189378136,0.00799595181132536
113 ,22820054.4,114190.8,113442.08172377,0.00655673028150868
114 ,25892921.6,115751.7,115911.543841625,0.00138092003508585
115 ,29416796.8,121290.1,119828.500345229,0.0120504447994587
116 ,36955657.6,135923,128684.359908245,0.0532554467732074
117 ,42998857.6,128772.1,137619.820348886,0.0687083642255253
118 ,46288841.6,130668.4,137559.896980719,0.0527403487049568
119 ,37230128,130526.5,129125.733132954,0.0107316664971958
120 ,31628358.4,126265.2,125685.42182594,0.00459174954033629
121 ,21256646.4,115364.7,114207.431066815,0.0100313955064705
122 ,23293011.2,120068.9,119879.105227167,0.00158071551278174
123 ,21783977.6,113967.2,118749.267411654,0.0419600324624445
124 ,28775900.8,119466.9,125259.988521419,0.0484911596552595
125 ,22561388.8,116676.2,115592.464275068,0.00928840436122812
126 ,23698979.2,113975.8,118933.31802257,0.0434962336089751
127 ,21269750.4,113872.6,110838.822498934,0.0266418567861408
128 ,20865004.8,117686.7,115567.251907441,0.0180092405731445
129 ,19432576,104361,113347.041686784,0.0861053620297241
130 ,20081347.2,107822.5,110056.682637776,0.0207209315103632
131 ,22767958.4,120984.8,112984.539461205,0.0661261624501209
132 ,22790915.2,120348.4,116317.591015652,0.0334928340081657
133 ,23075468.8,117850.1,113993.882119381,0.0327213797919496
134 ,19007308.8,110957.2,114273.375302324,0.0298869771616831
135 ,19759353.6,117080.4,112759.134377871,0.0369085314205344
136 ,21640000,111830.1,114776.49998086,0.0263471103116214
137 ,20010819.2,120000.1,113401.912705767,0.0549848482978975
138 ,21188384,120683.8,117642.324075343,0.025202023176742
139 ,20110777.6,118508,116119.02840526,0.0201587369185199
140 ,18550464,111993.5,116640.570127359,0.0414941057057718
141 ,19410867.2,115179.8,115314.859531777,0.00117259738058831
142 ,22190953.6,118176.9,118453.684301585,0.00234211848157611
143 ,31105155.2,114693.9,126200.418346991,0.100323716841006
144 ,21578768,117854.4,112291.836689239,0.0471986053194526
145 ,22195657.6,121010.6,117493.096909918,0.029067727042772
146 ,19854361.6,114337,111502.546511715,0.0247903433559114
147 ,22525676.8,126445.8,119024.523567052,0.0586913636747795
148 ,26003184,124145.3,125299.51524832,0.0092972931582552
149 ,28851952,120787,127441.440151625,0.0550923539091565
150 ,25739488,120455.9,122158.220584589,0.014132313855847
151 ,22513308.8,120683.8,119600.213560009,0.00897872324198207
152 ,22368795.2,116166.65,118274.038075268,0.0181410764213963
153 ,18527904,114259.6,114178.850928688,0.000706715858549784
154 ,20816988.8,113812.4,117608.971721095,0.0333581553600072
155 ,19039734.4,116104.3,113071.829734123,0.0261185009157908
156 ,18734406.4,108188,115434.736280687,0.0669828102995439
157 ,22650844.8,106683,113636.319893771,0.0651773937156924
158 ,22436867.2,106855,112219.062154826,0.0501994492988246
159 ,21528896,106829.2,109837.390745444,0.0281588811433923
160 ,22460540.8,111774.2,107255.023472748,0.0404313028163219
161 ,22335184,116160.2,109440.858223082,0.0578454735521936
162 ,23661068.8,111537.7,113777.531071656,0.0200813811980712
163 ,33791718.4,117703.9,121710.749993173,0.0340417776570958
164 ,22690620.8,116938.5,112128.45090605,0.0411331519897246
165 ,29359587.2,121939.4,121900.166131383,0.00032174890656495
166 ,24211600,110264.9,111803.914877276,0.0139574323041703
167 ,27392230.4,117015.9,120614.801641753,0.0307556634760985
168 ,20684956.8,106760.4,110511.481946872,0.0351355179155534
169 ,22357129.6,109138.3,112500.925196478,0.0308106796283103
170 ,24065052.8,112617,110417.896504192,0.0195272782600129
171 ,21310544,109693,111784.306449519,0.0190650857349074
172 ,18094617.6,104640.5,106173.040117233,0.0146457644720081
173 ,18409884.8,108772.8,105410.582579227,0.0309104612621246
174 ,23353046.4,109099.6,112487.506315615,0.0310533339775336
175 ,24783020.8,112961,112380.306208068,0.00514065732360975
176 ,21170384,110006.9,110159.038208409,0.00138298787083855
177 ,20763529.6,101002.7,108324.027326659,0.0724864516162318
178 ,20204332.8,102675.4,104360.921256531,0.0164160184087996
179 ,21305488,106541.1,113711.107655869,0.0672980441901653
180 ,19672169.6,104610.4,106567.186457413,0.0187054676916766
181 ,26128336,124700,113964.281382243,0.0860923706315754
182 ,22371721.6,139590.9,117165.045925484,0.160654126268375
183 ,22227824,124777.4,124805.64323367,0.000226348951568999
184 ,19175891.2,121715.8,117992.54079485,0.0305897772117487
185 ,19652604.8,122988.6,126098.654683538,0.0252873411319252
186 ,19717177.6,125259,124146.224224013,0.00888379897641559
187 ,18646883.2,119148.7,122981.680214948,0.0321697191404348
188 ,21602400,115188.4,122818.494226666,0.0662401268414669
189 ,22484179.2,108437.4,120829.606193895,0.114279816685893
190 ,21576896,115704.4,115779.293476407,0.000647282872623466
191 ,19741379.2,108648.1,113179.637185786,0.0417083886951149
192 ,20049219.2,114560.6,109479.314062386,0.044354568129129
193 ,19168777.6,110252,111655.139662344,0.0127266594922864
194 ,18744924.8,101660.6,110614.388849109,0.0880753098949733
195 ,11726563.2,99054.8,101410.100575268,0.0237777530747462
196 ,14333440,110355.2,101135.218269838,0.0835482308958861
197 ,13515644.8,99734.2,102204.825298389,0.0247720972182943
198 ,19741379.2,108095.55,106269.213255556,0.0168955775186307
199 ,23256694.4,114513.3,105074.474711782,0.0824255810304833
200 ,20464374.4,112010.7,109644.795085154,0.02112213310734
201 ,22660611.2,101316.6,110818.743299437,0.0937866381169256
202 ,19908374.4,109430.7,103089.445503777,0.0579476736987268
203 ,22255180.8,109542.5,113741.209760098,0.0383295046223866
204 ,21357366.4,113244.8,108799.439220412,0.0392544362265454
205 ,20661862.4,112978.2,108259.746178466,0.0417642856899293
206 ,20212904,110991.6,110187.58283716,0.00724394605393612
207 ,22005372.8,114190.8,113069.114459485,0.00982290640327237
208 ,22611852.8,112161.2,115534.414534079,0.0300747008241603
209 ,23390073.6,118512.3,114623.434796434,0.0328140218657994
210 ,20517433.6,112552.5,113106.332661556,0.00492066068329319
211 ,20800928,110978.7,112998.589668687,0.0182006967885467
212 ,24176940.8,120288.2,116177.684208352,0.0341722279629121
213 ,25167622.4,118611.2,122577.016384219,0.0334354292361841
214 ,20073481.6,115244.3,112820.541110975,0.0210314860607028
215 ,24275238.4,120309.7,116968.53478506,0.0277713701799635
216 ,25713324.8,130621.1,123482.739424172,0.0546493681023043
217 ,24164256,125087,125361.435499196,0.00219395699949797
218 ,19957123.2,114715.4,117568.30477168,0.0248694139730153
219 ,20694940.8,108102,118559.230085918,0.0967348438134208
220 ,21852294.4,114943.3,118686.503335901,0.03256565050682
221 ,22326748.8,114771.3,118514.857671052,0.0326175417639431
222 ,20039888,103952.5,111841.289372127,0.0758884045321406
223 ,22135801.6,108609.4,108394.970442183,0.00197431859320218
224 ,23600892.8,114053.2,113944.308843965,0.000954740033909016
225 ,24714070.4,115068,116780.296536296,0.0148807360543011
226 ,20694323.2,108585.75,108855.545904201,0.00248463453262451
227 ,21413936,113782.3,108575.573504373,0.045760425792298
228 ,22116006.4,114177.9,115129.17668084,0.00833153071513958
229 ,22281472,109976.8,115219.836791043,0.0476740257130827
230 ,21348758.4,113219,109986.928471252,0.0285470771579682
231 ,21918185.6,110905.6,113276.538739751,0.0213779893869263
232 ,24783945.6,120154.9,116223.02209659,0.0327234087283184
233 ,24260755.2,115184.1,118715.797682299,0.0306613298389145
234 ,20584140.8,108884.6,110991.427952834,0.0193491820958495
235 ,24228675.2,113064.2,115488.14961726,0.0214387013507377
236 ,20003062.4,114225.2,111227.485313531,0.0262438996514719
237 ,20710710.4,111593.6,110675.330984084,0.00822868888463305
238 ,19644857.6,106592.7,110020.200940483,0.0321551188822785
239 ,22234307.2,111851.6,112031.345138956,0.00160699658257725
240 ,23406057.6,117906,114650.297257197,0.0276126977660395
241 ,22879366.4,124850.5,114894.852815858,0.079740547167546
242 ,20540316.8,110024.1,114869.657153096,0.0440408706192207
243 ,19492928,112879.3,108285.853628272,0.0406934342410727
244 ,18917968,111825.8,109958.908138201,0.0166946434704568
245 ,20711110.4,110707.8,115651.941238821,0.0446593757514876
246 ,20066617.6,108205.2,110459.268569621,0.0208314255656969
247 ,20151523.2,108377.2,108867.457595702,0.00452362301020478
248 ,20967548.8,109499.5,109366.003474568,0.00121915191788341
249 ,21479779.2,110755.1,110525.636624939,0.00207180865766964
250 ,23663753.6,99076.3,113835.82663966,0.148971314427967
251 ,21784256,96788.7,106883.197421942,0.104294172996872
252 ,23053424,98435.6,102874.410002731,0.0450935434205794
253 ,19900873.6,82830.9,98586.7483637421,0.190217036923927
254 ,22274910.4,98631.25,87928.3146209984,0.108514648034995
255 ,24839107.2,97532.6,99458.5347984465,0.0197465749754079
256 ,21264976,94694.6,94141.082422815,0.00584529188765784
257 ,20524534.4,91551.3,93313.5697998997,0.0192489871787702
258 ,20886067.2,98186.2,91674.6499875553,0.0663183829544757
259 ,21708572.8,95976,101247.059838055,0.0549206034639382
260 ,20216406.4,96943.5,94947.3838446054,0.0205905105076114
261 ,23505609.6,98577.5,100828.537197361,0.0228352027324797
262 ,22964867.2,101535.9,98712.1249571579,0.0278106073107355
263 ,22818166.4,98465.7,99741.1743674461,0.0129534890570636
264 ,24696812.8,100469.5,101357.770385012,0.00884119444221686
265 ,24985321.6,102249.7,102871.140582531,0.00607767634067452
266 ,21879625.6,101604.7,97013.7258225537,0.0451846634796055
267 ,24356147.2,101406.9,103008.081976347,0.0157896748283085
268 ,24680464,92695.1,105446.248953448,0.137560118641091
269 ,25613440,93378.8,100263.018062621,0.0737235653341085
270 ,24031555.2,96363,92197.4365900825,0.0432278302867023
271 ,26766902.4,102967.8,99008.6573773764,0.0384502982740583
272 ,25591753.6,99385.9,98271.0779449413,0.0112171047911089
273 ,23434576,102589.4,96921.0325842667,0.0552529541622558
274 ,22961926.4,105190.9,101034.289097972,0.0395149285920002
275 ,24928803.2,107551.6,106734.488518536,0.00759739028953303
276 ,28059510.4,104309.4,108725.712072352,0.0423385818761481
277 ,28604121.6,111296.9,104048.322424752,0.0651282971515667
278 ,25867443.2,107607.5,109514.881522226,0.0177253585691149
279 ,23902003.2,106932.4,108372.563940871,0.0134679848284664
280 ,25445174.4,107095.8,108736.987042428,0.0153244762392959
281 ,23067244.8,110110.1,105650.598649175,0.0405003841684382
282 ,25032179.2,107121.6,111208.197654014,0.0381491468948739
283 ,22096345.6,106910.9,105892.593493902,0.0095248146456381
284 ,21927020.8,108282.6,106846.088851743,0.0132663156246446
285 ,25488256,117127.7,109270.80501928,0.0670797341766292
286 ,24196915.2,106635.7,111699.344803705,0.0474854556560829
287 ,21353641.6,108274,106526.153174102,0.0161428119945513
288 ,24006172.8,115442.1,110835.951694311,0.0399000737658919
289 ,22119884.8,112328.9,111026.491996491,0.0115945941205604
290 ,23208819.2,102060.5,111147.351194091,0.0890339670498463
291 ,21402902.4,108673.9,106968.514894985,0.0156926833859415
292 ,22904854.4,109370.5,109768.475868501,0.00363878622207193
293 ,21744489.6,105590.8,108801.187226764,0.0304040430299236
294 ,20887478.4,107659.1,103158.411510432,0.0418049982729599
295 ,22037568,111292.6,108572.649931326,0.024439630924913
296 ,21214003.2,113412.5,107272.426749617,0.0541392990224456
297 ,23415283.2,108256.8,110574.748454856,0.0214115737289125
